extract_dt,region_id,market_name,category,commodity,price
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,54.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,53.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,50.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,55.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),190.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Fish,Tilapia - MEDIUM (5-6PCS/KG),150.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Fish,Yellow-Fin Tuna (Tambakol),300.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Fish,Bangus (Large) - LARGE (KG),220.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Fish,Bangus (Large) - LARGE (KG),240.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Fruits,Calamansi - KG,100.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Fruits,Banana (Lakatan) - 8-10PCS/KG,70.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Fruits,"Papaya - SOLO, RIPE, 2-3PCS",60.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,100.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,80.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,150.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,100.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Highland Vegetables,Habichuelas (Baguio Bean) - KG,150.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Highland Vegetables,Habichuelas (Baguio Bean) - KG,80.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Highland Vegetables,White Potato - 10-12PCS/KG,180.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Highland Vegetables,White Potato - 10-12PCS/KG,150.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Highland Vegetables,Pechay (Baguio) - KG,100.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Highland Vegetables,Pechay (Baguio) - KG,80.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Highland Vegetables,Chayote - KG,40.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Highland Vegetables,Chayote - KG,30.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,120.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,100.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Lowland Vegetables,Squash - SUPREMA VARIETY,60.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Lowland Vegetables,Squash - SUPREMA VARIETY,40.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Lowland Vegetables,Pechay (Native) - 3-4 SMALL BUNDLES/KG,150.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Lowland Vegetables,Pechay (Native) - 3-4 SMALL BUNDLES/KG,120.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Lowland Vegetables,Eggplant - 3-4 SMALL BUNDLES/KG,100.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Lowland Vegetables,Eggplant - 3-4 SMALL BUNDLES/KG,100.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Lowland Vegetables,Tomato - 15-18 PCS/KG,100.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Lowland Vegetables,Tomato - 15-18 PCS/KG,80.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Meat and Poultry,"Chicken Egg (White, Medium) - 56-60 grams/pc",8.75
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Meat and Poultry,Pork Ham (Kasim),280.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Meat and Poultry,Pork Ham (Kasim),330.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Meat and Poultry,Pork Belly (Liempo),330.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Meat and Poultry,Whole Chicken - FULLY DRESSED,210.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Meat and Poultry,"Chicken Egg (White, Pewee) - 41-45 grams/pc",7.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Meat and Poultry,"Chicken Egg (White, Small) - 51-55 grams/pc",7.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Meat and Poultry,"Chicken Egg (White, Large) - 61-65 grams/pc",9.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Meat and Poultry,"Chicken Egg (White, Extra Large) - 66-70 grams/pc",9.5
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Spices,Garlic(Imported) - KG,200.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Spices,Garlic(Imported) - KG,200.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",150.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",150.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Spices,Red Onion - 13-15 PCS/KG,200.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Spices,Red Onion - 13-15 PCS/KG,150.0
2026-02-11,160000000,MAYOR SALVADOR CALO PUBLIC MARKET,Other Commodities,Sugar (Brown) - KG,70.0
2026-02-11,160000000,LIBERTAD PUBLIC MARKET,Other Commodities,Sugar (Brown) - KG,75.0
